questions,step,content,label,is_calculation_or_reasoning,equation,leftSideOfEqualSign,rightSideOfEqualSign,leftSideOfEqual_use_sympy_or_llm,rightSideOfEqual_use_sympy_or_llm,leftSideOfEqual_code,rightSideOfEqual_code,JudgmentStepCalculatedCorrectly,StepCalculatedCorrectlyResult
Lorie has 2 pieces of $100 bills. He requested to change one piece of the $100 bills into $50 bills. Half of the remaining $100 bill is changed to $10 bills while the rest is changed to $5 bills. How many pieces of bills will she have?,Step 1,Lorie has 2 x $100 = $<<2*100=200>>200.,1,1,['2*100=200'],['2*100=>200=>200.000000000000'],['200=>200.000000000000'],['sympy'],['sympy'],[''],[''],[1],['200.000000000000']
Lorie has 2 pieces of $100 bills. He requested to change one piece of the $100 bills into $50 bills. Half of the remaining $100 bill is changed to $10 bills while the rest is changed to $5 bills. How many pieces of bills will she have?,Step 2,"After changing one $100 bill to $50, he remains with $200 - $100 = $<<200-100=100>>100.",0,1,['200-100=100'],['200-100=>100=>100.000000000000'],['100=>100.000000000000'],['sympy'],['sympy'],[''],[''],[1],['100.000000000000']
Lorie has 2 pieces of $100 bills. He requested to change one piece of the $100 bills into $50 bills. Half of the remaining $100 bill is changed to $10 bills while the rest is changed to $5 bills. How many pieces of bills will she have?,Step 3,Half of the remaining $100 bill is $100/2 = $<<100/2=50>>50.,1,1,['100/2=50'],['100/2=>50=>50.0000000000000'],['50=>50.0000000000000'],['sympy'],['sympy'],[''],[''],[1],['50.0000000000000']
Lorie has 2 pieces of $100 bills. He requested to change one piece of the $100 bills into $50 bills. Half of the remaining $100 bill is changed to $10 bills while the rest is changed to $5 bills. How many pieces of bills will she have?,Step 4,"So, he exchanged the half of the remaining $100 bill for $50 bills.",1,0,[],[],[],[],[],[],[],[],[]
Lorie has 2 pieces of $100 bills. He requested to change one piece of the $100 bills into $50 bills. Half of the remaining $100 bill is changed to $10 bills while the rest is changed to $5 bills. How many pieces of bills will she have?,Step 5,"Therefore, he has $100 - $50 = $<<100-50=50>>50 remaining.",1,1,['100-50=50'],['100-50=>50=>50.0000000000000'],['50=>50.0000000000000'],['sympy'],['sympy'],[''],[''],[1],['50.0000000000000']
Lorie has 2 pieces of $100 bills. He requested to change one piece of the $100 bills into $50 bills. Half of the remaining $100 bill is changed to $10 bills while the rest is changed to $5 bills. How many pieces of bills will she have?,Step 6,He then exchanged the rest for $10 and $5 bills.,1,0,[],[],[],[],[],[],[],[],[]
Lorie has 2 pieces of $100 bills. He requested to change one piece of the $100 bills into $50 bills. Half of the remaining $100 bill is changed to $10 bills while the rest is changed to $5 bills. How many pieces of bills will she have?,Step 7,"So, he exchanged $50 for $10 bills and $50 for $5 bills.",1,0,[],[],[],[],[],[],[],[],[]
Lorie has 2 pieces of $100 bills. He requested to change one piece of the $100 bills into $50 bills. Half of the remaining $100 bill is changed to $10 bills while the rest is changed to $5 bills. How many pieces of bills will she have?,Step 8,He has $50/$10 = <<50/10=5>>5 pieces of $10 bills.,1,1,['50/10=5'],['50/10=>5=>5.00000000000000'],['5=>5.00000000000000'],['sympy'],['sympy'],[''],[''],[1],['5.00000000000000']
Lorie has 2 pieces of $100 bills. He requested to change one piece of the $100 bills into $50 bills. Half of the remaining $100 bill is changed to $10 bills while the rest is changed to $5 bills. How many pieces of bills will she have?,Step 9,And he has $50/$5 = <<50/5=10>>10 pieces of $5 bills.,1,1,['50/5=10'],['50/5=>10=>10.0000000000000'],['10=>10.0000000000000'],['sympy'],['sympy'],[''],[''],[1],['10.0000000000000']
Lorie has 2 pieces of $100 bills. He requested to change one piece of the $100 bills into $50 bills. Half of the remaining $100 bill is changed to $10 bills while the rest is changed to $5 bills. How many pieces of bills will she have?,Step 10,"Therefore, he has a total of 5 + 10 = <<5+10=15>>15 pieces of bills. The answer is: 15",0,1,['5+10=15'],['5+10=>15=>15.0000000000000'],['15=>15.0000000000000'],['sympy'],['sympy'],[''],[''],[1],['15.0000000000000']
"James is sitting outside, counting how many people go past him in vehicles. He has counted 52 vehicles so far today. He saw 12 trucks, a couple of buses, twice as many taxis, some motorbikes, and 30 cars. If the trucks held 2 people each, the buses held 15 people each, the taxis held 2 people each, the motorbikes held 1 person each, and the cars held 3 people each, how many passengers has James seen today?",Step 1,"James has seen 12 trucks, which held 2 people each, so 12 * 2 = <<12*2=24>>24 people",0,1,['12*2=24'],['12*2=>24=>24.0000000000000'],['24=>24.0000000000000'],['sympy'],['sympy'],[''],[''],[1],['24.0000000000000']
"James is sitting outside, counting how many people go past him in vehicles. He has counted 52 vehicles so far today. He saw 12 trucks, a couple of buses, twice as many taxis, some motorbikes, and 30 cars. If the trucks held 2 people each, the buses held 15 people each, the taxis held 2 people each, the motorbikes held 1 person each, and the cars held 3 people each, how many passengers has James seen today?",Step 2,"He has seen 3 taxis, which held 2 people each, so 3 * 2 = <<3*2=6>>6 people",0,1,['3*2=6'],['3*2=>6=>6.00000000000000'],['6=>6.00000000000000'],['sympy'],['sympy'],[''],[''],[1],['6.00000000000000']
"James is sitting outside, counting how many people go past him in vehicles. He has counted 52 vehicles so far today. He saw 12 trucks, a couple of buses, twice as many taxis, some motorbikes, and 30 cars. If the trucks held 2 people each, the buses held 15 people each, the taxis held 2 people each, the motorbikes held 1 person each, and the cars held 3 people each, how many passengers has James seen today?",Step 3,"He has seen 30 cars, which held 3 people each, so 30 * 3 = <<30*3=90>>90 people",0,1,['30*3=90'],['30*3=>90=>90.0000000000000'],['90=>90.0000000000000'],['sympy'],['sympy'],[''],[''],[1],['90.0000000000000']
"James is sitting outside, counting how many people go past him in vehicles. He has counted 52 vehicles so far today. He saw 12 trucks, a couple of buses, twice as many taxis, some motorbikes, and 30 cars. If the trucks held 2 people each, the buses held 15 people each, the taxis held 2 people each, the motorbikes held 1 person each, and the cars held 3 people each, how many passengers has James seen today?",Step 4,"The buses held 15 people each, so if James saw 2 buses, 15 * 2 = <<15*2=30>>30 people",0,1,['15*2=30'],['15*2=>30=>30.0000000000000'],['30=>30.0000000000000'],['sympy'],['sympy'],[''],[''],[1],['30.0000000000000']
"James is sitting outside, counting how many people go past him in vehicles. He has counted 52 vehicles so far today. He saw 12 trucks, a couple of buses, twice as many taxis, some motorbikes, and 30 cars. If the trucks held 2 people each, the buses held 15 people each, the taxis held 2 people each, the motorbikes held 1 person each, and the cars held 3 people each, how many passengers has James seen today?",Step 5,"Including the people in the trucks, taxis, cars, and buses, James has seen 24 + 6 + 90 + 30 + 30 = <<24+6+90+30+30=180>>180 people The answer is: 180",0,1,['24+6+90+30+30=180'],['24+6+90+30+30=>180=>180.000000000000'],['180=>180.000000000000'],['sympy'],['sympy'],[''],[''],[1],['180.000000000000']
"Rick held a fundraiser and is figuring out who still owes money. He marked on a sheet how much everyone has promised to contribute, but he forgot to note how much some people had actually paid. Altogether, everyone has promised to contribute $400, and Rick has actually received $285.  Sally, Amy, Derek, and Carl all still owe money. Sally and Carl both owe equal amounts, Amy owes $30, and Derek owes half as much as Amy. How much, in dollars, do Sally and Carl each owe?",Step 1,Subtract the amount of money actually received from the amount everyone has promised to contribute to find how much each person still owes: $400 - $285 = $<<400-285=115>>115,1,1,['400-285=115'],['400-285=>115=>115.000000000000'],['115=>115.000000000000'],['sympy'],['sympy'],[''],[''],[1],['115.000000000000']
"Rick held a fundraiser and is figuring out who still owes money. He marked on a sheet how much everyone has promised to contribute, but he forgot to note how much some people had actually paid. Altogether, everyone has promised to contribute $400, and Rick has actually received $285.  Sally, Amy, Derek, and Carl all still owe money. Sally and Carl both owe equal amounts, Amy owes $30, and Derek owes half as much as Amy. How much, in dollars, do Sally and Carl each owe?",Step 2,Find how much Amy owes: $115 - $30 = $<<115-30=85>>85,0,1,['115-30=85'],['115-30=>85=>85.0000000000000'],['85=>85.0000000000000'],['sympy'],['sympy'],[''],[''],[1],['85.0000000000000']
"Rick held a fundraiser and is figuring out who still owes money. He marked on a sheet how much everyone has promised to contribute, but he forgot to note how much some people had actually paid. Altogether, everyone has promised to contribute $400, and Rick has actually received $285.  Sally, Amy, Derek, and Carl all still owe money. Sally and Carl both owe equal amounts, Amy owes $30, and Derek owes half as much as Amy. How much, in dollars, do Sally and Carl each owe?",Step 3,"Derek owes half as much as Amy, so he owes 1/2 * $30 = $<<1/2*30=15>>15",0,1,['1/2*30=15'],['1/2*30=>15=>15.0000000000000'],['15=>15.0000000000000'],['sympy'],['sympy'],[''],[''],[1],['15.0000000000000']
"Rick held a fundraiser and is figuring out who still owes money. He marked on a sheet how much everyone has promised to contribute, but he forgot to note how much some people had actually paid. Altogether, everyone has promised to contribute $400, and Rick has actually received $285.  Sally, Amy, Derek, and Carl all still owe money. Sally and Carl both owe equal amounts, Amy owes $30, and Derek owes half as much as Amy. How much, in dollars, do Sally and Carl each owe?",Step 4,"Carl and Sally each owe the same amount as Derek, so they each owe $15: $15/2 = $<<15/2=7.5>>7.5/person The answer is: 7.5",0,1,['15/2=7.5'],['15/2=>7.50000000000000'],['7.5=>7.50000000000000'],['sympy'],['sympy'],[''],[''],[1],['7.50000000000000']
Billy made 49 sandwiches; Katelyn made 47 more than that. Chloe made a quarter of the amount that Katelyn made. How many sandwiches did they make in all?,Step 1,Katelyn made 49 + 47 = <<49+47=96>>96 sandwiches.,1,1,['49+47=96'],['49+47=>96=>96.0000000000000'],['96=>96.0000000000000'],['sympy'],['sympy'],[''],[''],[1],['96.0000000000000']
Billy made 49 sandwiches; Katelyn made 47 more than that. Chloe made a quarter of the amount that Katelyn made. How many sandwiches did they make in all?,Step 2,Chloe made 1/4 x 96 = <<1/4*96=24>>24 sandwiches.,1,1,['1/4*96=24'],['1/4*96=>24=>24.0000000000000'],['24=>24.0000000000000'],['sympy'],['sympy'],[''],[''],[1],['24.0000000000000']
Billy made 49 sandwiches; Katelyn made 47 more than that. Chloe made a quarter of the amount that Katelyn made. How many sandwiches did they make in all?,Step 3,They made 49 + 96 + 24 = <<49+96+24=170>>170 sandwiches in all. The answer is: 170,0,1,['49+96+24=170'],['49+96+24=>169=>169.000000000000'],['170=>170.000000000000'],['sympy'],['sympy'],[''],[''],[0],['169.000000000000']
"Charlie owns one flute, two horns, and a harp.  Carli owns twice as many flutes as Charlie, half as many horns as Charlie, but no harps.  What is the combined total number of musical instruments owned by Charlie and Carli?",Step 1,Charlie has 1 flute + 2 horns + 1 harp = <<1+2+1=4>>4 musical instruments,1,1,['1+2+1=4'],['1+2+1=>4=>4.00000000000000'],['4=>4.00000000000000'],['sympy'],['sympy'],[''],[''],[1],['4.00000000000000']
"Charlie owns one flute, two horns, and a harp.  Carli owns twice as many flutes as Charlie, half as many horns as Charlie, but no harps.  What is the combined total number of musical instruments owned by Charlie and Carli?",Step 2,Carli has 2 flutes + 2 horns/2 = <<2+2/2=4>>4 instruments,0,1,['2+2/2=4'],['2+2/2=>3=>3.00000000000000'],['4=>4.00000000000000'],['sympy'],['sympy'],[''],[''],[0],['3.00000000000000']
"Charlie owns one flute, two horns, and a harp.  Carli owns twice as many flutes as Charlie, half as many horns as Charlie, but no harps.  What is the combined total number of musical instruments owned by Charlie and Carli?",Step 3,"Together, they have 4 + 4 = <<4+4=8>>8 instruments The answer is: 8",0,1,['4+4=8'],['4+4=>8=>8.00000000000000'],['8=>8.00000000000000'],['sympy'],['sympy'],[''],[''],[1],['8.00000000000000']
"Jane bought pens for her three students. Each student received 62 red pens and 43 black pens. They pooled their pens together and took them from the pool whenever they needed them. After the first month, they had taken a total of 37 pens from the pool. After the second month, they had taken another 41 pens from the pool. Then Jane decided to split the remaining pens equally among them. How many pens will each student get now?",Step 1,"After the first month, the students had 62+43=<<62+43=105>>105 red and black pens.",0,1,['62+43=105'],['62+43=>105=>105.000000000000'],['105=>105.000000000000'],['sympy'],['sympy'],[''],[''],[1],['105.000000000000']
"Jane bought pens for her three students. Each student received 62 red pens and 43 black pens. They pooled their pens together and took them from the pool whenever they needed them. After the first month, they had taken a total of 37 pens from the pool. After the second month, they had taken another 41 pens from the pool. Then Jane decided to split the remaining pens equally among them. How many pens will each student get now?",Step 2,"After the second month, they had 105-37=<<105-37=68>>68 red and black pens.",0,1,['105-37=68'],['105-37=>68=>68.0000000000000'],['68=>68.0000000000000'],['sympy'],['sympy'],[''],[''],[1],['68.0000000000000']
"Jane bought pens for her three students. Each student received 62 red pens and 43 black pens. They pooled their pens together and took them from the pool whenever they needed them. After the first month, they had taken a total of 37 pens from the pool. After the second month, they had taken another 41 pens from the pool. Then Jane decided to split the remaining pens equally among them. How many pens will each student get now?",Step 3,"So, they now have 68+41=<<68+41=109>>109 red and black pens.",0,1,['68+41=109'],['68+41=>109=>109.000000000000'],['109=>109.000000000000'],['sympy'],['sympy'],[''],[''],[1],['109.000000000000']
"Jane bought pens for her three students. Each student received 62 red pens and 43 black pens. They pooled their pens together and took them from the pool whenever they needed them. After the first month, they had taken a total of 37 pens from the pool. After the second month, they had taken another 41 pens from the pool. Then Jane decided to split the remaining pens equally among them. How many pens will each student get now?",Step 4,"Therefore, each student will get 109/3=<<109/3=36>>36 red and black pens now. The answer is: 36",0,1,['109/3=36'],['109/3=>36.3333333333333'],['36=>36.0000000000000'],['sympy'],['sympy'],[''],[''],[0],['36.3333333333333']
To make 3 liters of ketchup Ashley needs 69 kg of tomatoes.  How many kilos of tomatoes does Ashley need to make 5 liters of ketchup?,Step 1,Ashley needs 69 kg/ 3 liters = <<69/3=23>>23 kg of tomatoes to make 5 liters of ketchup.,0,1,['69/3=23'],['69/3=>23=>23.0000000000000'],['23=>23.0000000000000'],['sympy'],['sympy'],[''],[''],[1],['23.0000000000000']
To make 3 liters of ketchup Ashley needs 69 kg of tomatoes.  How many kilos of tomatoes does Ashley need to make 5 liters of ketchup?,Step 2,Ashley needs 23 kg/ 5 liters = <<23/5=4.6>>4.6 kg of tomatoes per liter of ketchup. The answer is: 4.6,0,1,['23/5=4.6'],['23/5=>4.60000000000000'],['4.6=>4.60000000000000'],['sympy'],['sympy'],[''],[''],[1],['4.60000000000000']
"John took a test with 80 questions.  For the first 40 questions, she got 90% right.  For the next 40 questions, she gets 95% right.  How many total questions does she get right?",Step 1,She got 90% right for 40 questions so 90*.01*40 = <<90*.01*40=36>>36 points,1,1,['90*.01*40=36'],['90*.01*40=>90*.1*40=>360.000000000000'],['36=>36.0000000000000'],['sympy'],['sympy'],[''],[''],[0],['360.000000000000']
"John took a test with 80 questions.  For the first 40 questions, she got 90% right.  For the next 40 questions, she gets 95% right.  How many total questions does she get right?",Step 2,She got 95% right for 40 questions so 95*.01*40 = <<95*.01*40=42>>42 points,0,1,['95*.01*40=42'],['95*.01*40=>95*.1*40=>380.000000000000'],['42=>42.0000000000000'],['sympy'],['sympy'],[''],[''],[0],['380.000000000000']
"John took a test with 80 questions.  For the first 40 questions, she got 90% right.  For the next 40 questions, she gets 95% right.  How many total questions does she get right?",Step 3,She got 36 points for 40 questions and 42 points for 40 questions so 36+42 = <<36+42=78>>78 points,0,1,['36+42=78'],['36+42=>78=>78.0000000000000'],['78=>78.0000000000000'],['sympy'],['sympy'],[''],[''],[1],['78.0000000000000']
"John took a test with 80 questions.  For the first 40 questions, she got 90% right.  For the next 40 questions, she gets 95% right.  How many total questions does she get right?",Step 4,She got 78 points for 80 questions so she got 78/80 = .98 right The answer is: 78/80=.98,0,1,"[' 78/80 = .98 ', ' 78/80=.98']","[' 78/80 =>78/80=>39/40=>0.975000000000000', ' 78/80=>78/80=>39/40=>0.975000000000000']","[' .98 =>.98=>0.980000000000000', '.98=>0.980000000000000']","['sympy', 'sympy']","['sympy', 'sympy']","['', '']","['', '']","[0, 0]","['0.975000000000000', '0.975000000000000']"
"5/8 of shoppers at All Goods Available store prefer to avoid the check-out line on weekends and instead go through the express lane. If the number of shoppers in the store is 480, calculate the number of shoppers who pay at the check-out lane.",Step 1,"If 5/8 of the shoppers prefer to avoid the check-out line, there are 5/8*480=<<5/8*480=360>>360 shoppers who use the express lane.",0,1,['5/8*480=360'],['5/8*480=>300=>300.000000000000'],['360=>360.000000000000'],['sympy'],['sympy'],[''],[''],[0],['300.000000000000']
"5/8 of shoppers at All Goods Available store prefer to avoid the check-out line on weekends and instead go through the express lane. If the number of shoppers in the store is 480, calculate the number of shoppers who pay at the check-out lane.",Step 2,This means 480-360=<<480-360=120>>120 shoppers pay at the check-out lane. The answer is: 120,0,1,['480-360=120'],['480-360=>120=>120.000000000000'],['120=>120.000000000000'],['sympy'],['sympy'],[''],[''],[1],['120.000000000000']
"Salaria is growing oranges this summer. She bought two types of trees. She has 50% of tree A and 50% of tree B. Tree A gives her 10 oranges a month and 60% are good. Tree B gives her 15 oranges and 1/3 are good. If she gets 55 good oranges per month, how many total trees does she have?",Step 1,She has 10 * 50% = <<10*50*.01=5>>5 trees of type A.,1,1,['10*50*.01=5'],['10*50*.01=>10*50*.1=>50.0000000000000'],['5=>5.00000000000000'],['sympy'],['sympy'],[''],[''],[0],['50.0000000000000']
"Salaria is growing oranges this summer. She bought two types of trees. She has 50% of tree A and 50% of tree B. Tree A gives her 10 oranges a month and 60% are good. Tree B gives her 15 oranges and 1/3 are good. If she gets 55 good oranges per month, how many total trees does she have?",Step 2,She has 15 * 1/3 = <<15*1/3=5>>5 trees of type B.,1,1,['15*1/3=5'],['15*1/3=>5=>5.00000000000000'],['5=>5.00000000000000'],['sympy'],['sympy'],[''],[''],[1],['5.00000000000000']
"Salaria is growing oranges this summer. She bought two types of trees. She has 50% of tree A and 50% of tree B. Tree A gives her 10 oranges a month and 60% are good. Tree B gives her 15 oranges and 1/3 are good. If she gets 55 good oranges per month, how many total trees does she have?",Step 3,She has 5 + 5 = <<5+5=10>>10 trees.,0,1,['5+5=10'],['5+5=>10=>10.0000000000000'],['10=>10.0000000000000'],['sympy'],['sympy'],[''],[''],[1],['10.0000000000000']
"Salaria is growing oranges this summer. She bought two types of trees. She has 50% of tree A and 50% of tree B. Tree A gives her 10 oranges a month and 60% are good. Tree B gives her 15 oranges and 1/3 are good. If she gets 55 good oranges per month, how many total trees does she have?",Step 4,10 * 60% = 60% of oranges from tree A are good.,1,1,['10 * 60% = 60% '],['10 * 60% =>10 * (60/100)=>6=>6.00000000000000'],[' 60% =>(60/100)=>3/5=>0.600000000000000'],['sympy'],['sympy'],[''],[''],[0],['6.00000000000000']
"Salaria is growing oranges this summer. She bought two types of trees. She has 50% of tree A and 50% of tree B. Tree A gives her 10 oranges a month and 60% are good. Tree B gives her 15 oranges and 1/3 are good. If she gets 55 good oranges per month, how many total trees does she have?",Step 5,10 * 1/3 = 1/3 of oranges from tree B are good.,1,1,['10 * 1/3 = 1/3 '],['10 * 1/3 =>10 * 1/3=>10/3=>3.33333333333333'],[' 1/3 =>1/3=>0.333333333333333'],['sympy'],['sympy'],[''],[''],[0],['3.33333333333333']
"Salaria is growing oranges this summer. She bought two types of trees. She has 50% of tree A and 50% of tree B. Tree A gives her 10 oranges a month and 60% are good. Tree B gives her 15 oranges and 1/3 are good. If she gets 55 good oranges per month, how many total trees does she have?",Step 6,1/3 + 60% = 70% of the oranges she gets are good.,0,1,['1/3 + 60% = 70% '],['1/3 + 60% =>1/3 + (60/100)=>14/15=>0.933333333333333'],[' 70% =>(70/100)=>7/10=>0.700000000000000'],['sympy'],['sympy'],[''],[''],[0],['0.933333333333333']
"Salaria is growing oranges this summer. She bought two types of trees. She has 50% of tree A and 50% of tree B. Tree A gives her 10 oranges a month and 60% are good. Tree B gives her 15 oranges and 1/3 are good. If she gets 55 good oranges per month, how many total trees does she have?",Step 7,She gets 55 * 70% = <<55*70*.01=38>>38 good oranges per month. The answer is: 38,0,1,['55*70*.01=38'],['55*70*.01=>55*70*.1=>385.000000000000'],['38=>38.0000000000000'],['sympy'],['sympy'],[''],[''],[0],['385.000000000000']
"Marly has ten $20 bills, eight $10 bills, and four $5 bills. If she wants to change her bills to $100 bills, how many pieces of $100 bills will she have?",Step 1,Marly has a total of ten $20 bills + eight $10 bills + four $5 bills = $<<10+8+4=220>>220,0,1,['10+8+4=220'],['10+8+4=>22=>22.0000000000000'],['220=>220.000000000000'],['sympy'],['sympy'],[''],[''],[0],['22.0000000000000']
"Marly has ten $20 bills, eight $10 bills, and four $5 bills. If she wants to change her bills to $100 bills, how many pieces of $100 bills will she have?",Step 2,"If she wants to change all of the money to $100 bills, she will have 220 / 100 = <<220/100=2.2>>2.2 pieces of $100 bills The answer is: 2.2",0,1,['220/100=2.2'],['220/100=>11/5=>2.20000000000000'],['2.2=>2.20000000000000'],['sympy'],['sympy'],[''],[''],[1],['2.20000000000000']
"A group of six friends planned to buy a car. The cost of the car is $1700 and they plan to share the cost equally. They had a car wash to help raise funds, which would be taken out of the total cost. The remaining cost would be split between the six friends. At the car wash, they earn $500. However, Brad decided not to join in the purchase of the car. How much more does each friend have to pay now that Brad isn't participating?",Step 1,"The friends had already raised $500 for the car, so they had already paid for 500/1700 of the cost of the car. The remaining cost of the car was 1700-500 = $<<1700-500=1200>>1200",1,1,['1700-500=1200'],['1700-500=>1200=>1200.00000000000'],['1200=>1200.00000000000'],['sympy'],['sympy'],[''],[''],[1],['1200.00000000000']
"A group of six friends planned to buy a car. The cost of the car is $1700 and they plan to share the cost equally. They had a car wash to help raise funds, which would be taken out of the total cost. The remaining cost would be split between the six friends. At the car wash, they earn $500. However, Brad decided not to join in the purchase of the car. How much more does each friend have to pay now that Brad isn't participating?",Step 2,So they each had to pay 1200/6 = $<<1200/6=200>>200 for the car.,1,1,['1200/6=200'],['1200/6=>200=>200.000000000000'],['200=>200.000000000000'],['sympy'],['sympy'],[''],[''],[1],['200.000000000000']
"A group of six friends planned to buy a car. The cost of the car is $1700 and they plan to share the cost equally. They had a car wash to help raise funds, which would be taken out of the total cost. The remaining cost would be split between the six friends. At the car wash, they earn $500. However, Brad decided not to join in the purchase of the car. How much more does each friend have to pay now that Brad isn't participating?",Step 3,"Now that Brad isn't participating, the remaining friends have to pay 200/6 = $<<200/6=33>>33 more for the car. The answer is: 33",0,1,['200/6=33'],['200/6=>100/3=>33.3333333333333'],['33=>33.0000000000000'],['sympy'],['sympy'],[''],[''],[0],['33.3333333333333']
"A community is building a metal fence. Each fence panel is made of 3 metal sheets, and 2 metal beams. The fence is made of 10 fence panels. If each sheet is made of 10 metal rods and each metal beam is made of 4 metal rods, how many metal rods does the community need for the fence?",Step 1,Each fence panel needs 3 * 10 = <<3*10=30>>30 metal rods.,1,1,['3*10=30'],['3*10=>30=>30.0000000000000'],['30=>30.0000000000000'],['sympy'],['sympy'],[''],[''],[1],['30.0000000000000']
"A community is building a metal fence. Each fence panel is made of 3 metal sheets, and 2 metal beams. The fence is made of 10 fence panels. If each sheet is made of 10 metal rods and each metal beam is made of 4 metal rods, how many metal rods does the community need for the fence?",Step 2,"So, the fence needs 10 * 30 = <<10*30=300>>300 metal rods.",1,1,['10*30=300'],['10*30=>300=>300.000000000000'],['300=>300.000000000000'],['sympy'],['sympy'],[''],[''],[1],['300.000000000000']
"A community is building a metal fence. Each fence panel is made of 3 metal sheets, and 2 metal beams. The fence is made of 10 fence panels. If each sheet is made of 10 metal rods and each metal beam is made of 4 metal rods, how many metal rods does the community need for the fence?",Step 3,"In total, the community needs 300 + 4 * 2 = <<300+4*2=1200>>1200 metal rods. The answer is: 1200",0,1,['300+4*2=1200'],['300+4*2=>308=>308.000000000000'],['1200=>1200.00000000000'],['sympy'],['sympy'],[''],[''],[0],['308.000000000000']
"Utopia National Park hosted 30,000 elephants on Friday night. The next morning, there was a 4-hour elephant exodus out of the park, at a constant rate of 2,880 elephants/hour. Over the next 7-hour period, new elephants entered the park at a constant rate. If the final number of elephants in the park was 28,980, at what rate did the new elephants enter the park?",Step 1,"There were 30,000 elephants in the park on Friday night, and during the 4-hour exodus, 2,880 * 4 = <<2880*4=11520>>11,520 elephants left the park.",1,1,['2880*4=11520'],['2880*4=>11520=>11520.0000000000'],['11520=>11520.0000000000'],['sympy'],['sympy'],[''],[''],[1],['11520.0000000000']
"Utopia National Park hosted 30,000 elephants on Friday night. The next morning, there was a 4-hour elephant exodus out of the park, at a constant rate of 2,880 elephants/hour. Over the next 7-hour period, new elephants entered the park at a constant rate. If the final number of elephants in the park was 28,980, at what rate did the new elephants enter the park?",Step 2,"This means there were 30,000 - 11,520 = <<30000-11520=18480>>18,480 elephants in the park at the end of the exodus.",1,1,['30000-11520=18480'],['30000-11520=>18480=>18480.0000000000'],['18480=>18480.0000000000'],['sympy'],['sympy'],[''],[''],[1],['18480.0000000000']
"Utopia National Park hosted 30,000 elephants on Friday night. The next morning, there was a 4-hour elephant exodus out of the park, at a constant rate of 2,880 elephants/hour. Over the next 7-hour period, new elephants entered the park at a constant rate. If the final number of elephants in the park was 28,980, at what rate did the new elephants enter the park?",Step 3,"During the next 7-hour period, 28,980 - 18,480 = <<28980-18480=14500>>14,500 elephants entered the park.",0,1,['28980-18480=14500'],['28980-18480=>10500=>10500.0000000000'],['14500=>14500.0000000000'],['sympy'],['sympy'],[''],[''],[0],['10500.0000000000']
"Utopia National Park hosted 30,000 elephants on Friday night. The next morning, there was a 4-hour elephant exodus out of the park, at a constant rate of 2,880 elephants/hour. Over the next 7-hour period, new elephants entered the park at a constant rate. If the final number of elephants in the park was 28,980, at what rate did the new elephants enter the park?",Step 4,"The rate at which the new elephants entered the park was 14,500 / 7 = <<14500/7=2070>>2,070 elephants/hour. The answer is: 2,070",0,1,['14500/7=2070'],['14500/7=>2071.42857142857'],['2070=>2070.00000000000'],['sympy'],['sympy'],[''],[''],[0],['2071.42857142857']
A department store offers a 10% discount for the amount exceeding $100 of the customer's total charge. Jaco bought a pair of shoes for $74; 2 pairs of socks that cost $2 per pair; a bag that costs $42. How much will Jaco pay for those items?,Step 1,The total charge for the shoes and socks is $74 + $2 x 2 = $<<74+2*2=98>>98.,0,1,['74+2*2=98'],['74+2*2=>78=>78.0000000000000'],['98=>98.0000000000000'],['sympy'],['sympy'],[''],[''],[0],['78.0000000000000']
A department store offers a 10% discount for the amount exceeding $100 of the customer's total charge. Jaco bought a pair of shoes for $74; 2 pairs of socks that cost $2 per pair; a bag that costs $42. How much will Jaco pay for those items?,Step 2,"Since the total charge exceeds $100, Jaco will get a discount of 10% on $100 - $98 = $<<100-98=2>>2.",0,1,['100-98=2'],['100-98=>2=>2.00000000000000'],['2=>2.00000000000000'],['sympy'],['sympy'],[''],[''],[1],['2.00000000000000']
A department store offers a 10% discount for the amount exceeding $100 of the customer's total charge. Jaco bought a pair of shoes for $74; 2 pairs of socks that cost $2 per pair; a bag that costs $42. How much will Jaco pay for those items?,Step 3,"Thus, Jaco will pay $98 - $2 = $<<98-2=96>>96 for those items. The answer is: 96",0,1,['98-2=96'],['98-2=>96=>96.0000000000000'],['96=>96.0000000000000'],['sympy'],['sympy'],[''],[''],[1],['96.0000000000000']
"Cary walks 3 miles round-trip to the grocery store, where he buys and eats a candy bar with 200 calories. If Cary burns 150 calories per mile walked, what's Cary's net calorie deficit (expressed as a positive number)?",Step 1,"First, let's find how many calories Cary burned walking to the grocery store: 150 calories/mile * 3 miles = <<150*3=450>>450 calories",1,1,['150*3=450'],['150*3=>450=>450.000000000000'],['450=>450.000000000000'],['sympy'],['sympy'],[''],[''],[1],['450.000000000000']
"Cary walks 3 miles round-trip to the grocery store, where he buys and eats a candy bar with 200 calories. If Cary burns 150 calories per mile walked, what's Cary's net calorie deficit (expressed as a positive number)?",Step 2,"Next, let's find how many calories Cary burned walking home from the grocery store: 150 calories/mile * 3 miles = <<150*3=450>>450 calories",1,1,['150*3=450'],['150*3=>450=>450.000000000000'],['450=>450.000000000000'],['sympy'],['sympy'],[''],[''],[1],['450.000000000000']
